libfame	0.9.1
libfontenc	1.0.3
libFS	1.0.0
libgcc	3.4.6
libgcrypt	1.2.3
libglade2	2.5.1
libgpg-error	1.4
libgphoto2	2.2.1
libgpod	0.4.0
libICE	1.0.2
libid3tag	0.15.1b
libIDL	0.8.6
libidn	0.6.0
libiec61883	1.1.0
libieee1284	0.2.8
libkexif	0.2.5
libkipi	0.1.5
libksba	1.0.0
liblazy	0.1
liblbxutil	1.0.1
libmad	0.15.1b
libmal	0.42
libmatroska	0.8.0
libmikmod	3.1.11
libmng	1.0.9
libmovtar	0.1.3
libmp4v2	1.5.0.1
libmpcdec	1.2.2
libmpeg2	0.4.0
libmpeg3	1.5.2
libmtp	0.0.21
libnfsidmap	0.17
libnjb	2.2.5
libogg	1.1.3
liboil	0.3.8
liboldX	1.0.1
libpcap	0.9.4
libpcre	6.7
libperl	5.8.8
libpng	1.2.13
libquicktime	0.9.10
libraw1394	1.2.1
librsvg	2.16.0
libsamplerate	0.1.2
libsdl	1.2.11
libsigc++	2.0.16
libSM	1.0.2
libsndfile	1.0.15
libstdc++	3.3.6
libsvg	0.1.4
libsvg-cairo	0.1.6
libtheora	1.0_alpha7
libtool	1.5.22
libungif	4.1.4
libusb	0.1.12
libvisual	0.4.0
libvisual-plugins	0.4.0
libvorbis	1.1.2
libWindowsWM	1.0.0
libwmf	0.2.8.4
libwww	5.4.0
libX11	1.1.1
libXau	1.0.2
libXaw	1.0.2
libXcomposite	0.3.1
libXcursor	1.1.8
libXdamage	1.0.4
libXdmcp	1.0.2
libXevie	1.0.2
libXext	1.0.2
libXfixes	4.0.3
libXfontcache	1.0.3
libXfont	1.2.5
libXft	2.1.12
libXinerama	1.0.1
libXi	1.0.2
libxkbfile	1.0.4
libxkbui	1.0.2
libxml2	2.6.27
libXmu	1.0.3
libXpm	3.5.6
libXprintAppUtil	1.0.1
libXprintUtil	1.0.1
libXp	1.0.0
libXrandr	1.1.2
libXrender	0.9.2
libXres	1.0.2
libXScrnSaver	1.1.1
libxslt	1.1.15
libXTrap	1.0.0
libXtst	1.0.1
libXt	1.0.4
libXvMC	1.0.3
